Start Date;End Date;Title;country code (nl);Host country;Host district 1;Age min;Age max;Contribution;Invitation;full
01/Jul/22;10/Jul/22;Larino Trekking Camp;it;Italy;2042;15;17;200;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/2022-lariano-trekking-camp-invitation-camp-md2042.pdf;
02/Jul/22;10/Jul/22;Discover Milan;it;Italy;2041;18;25;400;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/rye-camp-mi-2022-220119-volantino-aggiornato.pdf;
02/Jul/22;16/Jul/22;Swiss Mountain Adventure Camp;ch;Switzerland;1990;15;19;CHF 1200;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/swiss-mountain-adventure-camp-2022.pdf;
02/Jul/22;16/Jul/22;Discover Fashion and Luxury Brands in France;fr;France;1670;18;19;450;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/summercamp2022-templeuve-d1670.pdf;
03/Jul/22;17/Jul/22;Discover Anatolia;tr;Turkey;2430;14;18;250;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/discover-anatolia-xvii-2022-final.pdf;
06/Jul/22;20/Jul/22;Canadian Wilderness Canoe Camp;ca;Canada;1550;18;21;CAD 600;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/participants-package-rotary-2022.pdf;
08/Jul/22;30/Jul/22;International Youth Symphony Musicamp;us;United States;?;15;22;USD 400;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/district-5340-musicamp-2022.pdf;
10/Jul/22;23/Jul/22;Discover and Enjoy Bavaria;de;Germany;1841;15;17;200;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/2022-summercamp-rc-ffb-discover-and-enjoy-bavaria.pdf;
10/Jul/22;21/Jul/22;Celebrate Belgium;be;Belgium;2160;17;19;200;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/hep2022celebrate-belgium-2022.pdf;
10/Jul/22;23/Jul/22;Rowing on the Northern Lakes;it;Italy;2042;15;17;300;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/d2042-15-rowing-camp-2022-invitation.pdf;x
13/Jul/22;27/Jul/22;Summercamp Sport and Horses;pl;Poland;2231;18;24;320;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/wrocaw-2022-summer-camp-sport-and-horses.pdf;
16/Jul/22;30/Jul/22;Enjoy Bavaria & Tirol;de/at;Germany/Austria;1841/1920;16;18;100;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/enjoy-bavaria-tirol.pdf;
16/Jul/22;27/Jul/22;Archery Camp;cz;Czech Republic;2240;15;18;290;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/czech-archery-camp-2022.pdf;
17/Jul/22;24/Jul/22;On the Sails of Sustainability;it;Italy;2041;18;30;900;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/summercamp-milan-2022-vela.pdf;
17/Jul/22;30/Jul/22;Basketball Camp GIRLS ONLY;tr;Turkey;2430;14;18;400;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/basketball-camp-turkey-d2430.pdf;
17/Jul/22;27/Jul/22;Tennis and Nature;ro;Romania;2241;16;19;250;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/ro1-tennis-and-nature-18th-edition.pdf;
23/Jul/22;01/Aug/22;Amazon Camp;br;Brasil;?;15;18;USD 1750;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/amazon-camp-rotary-ingles.pdf;
23/Jul/22;30/Jul/22;Magic of Opera in Milan;it;Italy;2041;17;23;500;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/summercamp-milan-2022-opera.pdf;
24/Jul/22;06/Aug/22;Sea, Sail and Nature Summer Camp;fi;Finland;1385;15;18;250;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/d1385-pietarsaari-sea-sail-and-nature-camp-2022.pdf;x
24/Jul/22;04/Aug/22;South to the North;tr;Turkey;2430;14;17;180;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/south-to-the-north-turkey.pdf;
24/Jul/22;31/Jul/22;Flavors of Sicily;it;Italy;2110;15;17;250;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/italycamp-flavorsofsicily.pdf;
29/Jul/22;13/Aug/22;Poland - from past to present;pl;Poland;2231;15;18;350;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/poland-from-past-to-present-2022-002.pdf;
30/Jul/22;10/Aug/22;International Youth Sailing Camp;se;Sweden;2400;16;18;0;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/2022-invitation-rotary-youth-sailing-camp-final.pdf;
30/Jul/22;14/Aug/22;Rotary Camp Sierra de Guadarrama;es;Spain;?;18;25;450;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/camp-2022-guadarrama-english.pdf;
